dateTime,activities-minutesSedentary,RestHeart,activities-minutesVeryActive,activities-floors,activities-steps,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-startTime
2017-11-21,715,60,3,7,7568,352,0,53,00:31
2017-11-22,760,60,22,6,8275,432,11,14,23:41
2017-11-23,1170,61,34,22,9880,0,0,0,
2017-11-24,834,60,0,3,3266,384,0,60,23:43
2017-11-25,688,58,1,4,9695,366,0,49,22:50
2017-11-26,1103,58,36,1,9607,0,0,0,
2017-11-27,721,59,20,11,10465,366,0,48,00:15
2017-11-28,670,58,0,9,7067,418,0,44,23:36
2017-11-29,701,58,10,12,9991,387,0,50,23:59
2017-11-30,581,58,0,7,3101,346,0,45,00:38
2017-12-01,738,58,4,14,8368,393,0,46,23:48
2017-12-02,609,58,9,7,10621,387,0,61,23:52
2017-12-03,633,56,17,2,7896,419,0,63,23:24
2017-12-04,1200,56,31,12,9245,0,0,0,
2017-12-05,629,55,1,5,8065,384,0,55,23:58
2017-12-06,738,55,15,11,7175,461,17,29,23:10
2017-12-07,245,55,39,16,11010,445,11,28,23:18
2017-12-08,809,56,0,6,3645,396,0,61,23:44
2017-12-09,826,57,0,8,4965,320,0,50,01:08
2017-12-10,49,58,38,9,9197,510,15,27,23:53
2017-12-11,728,60,18,13,8544,352,0,80,00:16
2017-12-12,1059,59,15,7,10999,0,0,0,
2017-12-13,799,57,9,13,8186,350,0,44,00:09
2017-12-14,957,58,27,6,8902,168,0,28,00:37
2017-12-15,788,59,0,2,6094,352,0,50,00:40
2017-12-16,656,61,35,10,11437,364,0,59,01:24
2017-12-17,662,60,16,3,10954,388,0,49,00:08
2017-12-18,782,59,7,9,8144,369,0,56,00:13
2017-12-19,1076,59,16,11,12736,0,0,0,
2017-12-20,663,58,23,17,12003,415,0,64,23:32
2017-12-21,811,58,20,6,6194,388,0,51,00:00
2017-12-22,661,56,5,8,4402,472,0,96,22:30
2017-12-23,643,56,8,3,10347,417,0,60,00:33
2017-12-24,645,55,15,3,7430,468,0,63,23:58
2017-12-25,753,57,0,6,3944,398,0,68,01:19
2017-12-26,758,59,0,1,3451,445,0,83,00:08
2017-12-27,609,59,0,8,9085,432,0,69,00:38
2017-12-28,573,59,21,8,14510,466,14,18,23:59
2017-12-29,686,59,0,10,5924,431,0,67,01:02
2017-12-30,725,57,7,12,6846,412,0,61,01:13
2017-12-31,795,57,0,10,3927,395,0,65,01:32
2018-01-01,685,59,13,8,11825,365,0,57,02:44
2018-01-02,620,59,5,5,11664,360,0,52,00:49
2018-01-03,458,59,10,67,14501,470,0,60,22:56
2018-01-04,616,59,18,7,12583,402,0,61,00:01
2018-01-05,1086,59,7,6,10989,0,0,0,
2018-01-06,545,59,9,5,11431,443,0,52,00:29
2018-01-07,534,60,36,6,14235,472,0,68,00:06
2018-01-08,729,60,16,11,8258,422,10,19,00:08
2018-01-09,639,59,17,2,10461,387,0,61,23:56
2018-01-10,770,58,21,1,7401,386,0,57,00:01
2018-01-11,788,56,3,10,6937,378,0,54,00:14
2018-01-12,766,56,1,6,2930,483,0,60,22:24
2018-01-13,561,56,49,3,12791,393,0,62,23:54
2018-01-14,1121,57,25,4,9762,0,0,0,
2018-01-15,738,57,7,15,6084,362,0,55,00:12
2018-01-16,713,57,0,4,6521,466,12,21,23:09
2018-01-17,700,57,27,13,10470,413,15,38,23:43
2018-01-18,755,57,27,45,13317,390,8,15,00:14
2018-01-19,776,57,25,9,8127,382,0,48,00:05
2018-01-20,622,56,35,1,10008,447,0,64,23:57
2018-01-21,545,56,18,3,10720,478,16,19,00:13
2018-01-22,771,57,26,8,7493,484,17,23,22:41
2018-01-23,622,58,38,8,13103,362,0,66,00:02
2018-01-24,735,59,42,21,10498,399,0,57,23:38
2018-01-25,779,57,27,9,7109,404,0,53,23:40
2018-01-26,689,58,8,3,4942,494,0,96,21:30
2018-01-27,671,61,0,2,1570,544,0,123,21:17
2018-01-28,837,63,0,2,1561,333,0,41,23:44
2018-01-29,639,63,8,7,5089,319,0,55,00:56
2018-01-30,892,63,0,3,4121,293,0,53,00:30
2018-01-31,788,60,0,4,4047,401,0,59,23:29
2018-02-01,1257,59,0,5,3958,0,0,0,
2018-02-02,730,57,0,4,4768,426,0,57,23:08
2018-02-03,689,57,9,5,9685,396,0,43,23:51
2018-02-04,640,57,0,3,4873,526,0,77,00:06
