Days,Years,Months,date,activities-minutesSedentary,activities-minutesVeryActive,activities-floors,sleep-minutesAsleep,activities-steps,sleep-awakeningsCount,RestHeart
Friday,2018,February,2018-02-23,645,7,3,384,12151,0,59
Saturday,2018,February,2018-02-24,556,36,7,444,11040,0,60
Sunday,2018,February,2018-02-25,558,23,15,430,12883,0,61
Monday,2018,February,2018-02-26,708,10,8,406,7690,10,61
Tuesday,2018,February,2018-02-27,757,8,4,456,8161,17,60
Wednesday,2018,February,2018-02-28,1232,27,13,0,6961,0,60
Thursday,2018,March,2018-03-01,708,29,11,409,9111,0,60
Friday,2018,March,2018-03-02,669,25,24,406,8392,0,60
Saturday,2018,March,2018-03-03,536,2,1,446,10441,0,59
Sunday,2018,March,2018-03-04,664,2,7,393,9491,0,60
Monday,2018,March,2018-03-05,740,27,8,392,11046,10,60
Tuesday,2018,March,2018-03-06,722,0,4,405,7009,5,60
Wednesday,2018,March,2018-03-07,922,30,9,268,9583,6,59
Thursday,2018,March,2018-03-08,753,0,6,443,3688,0,59
Friday,2018,March,2018-03-09,718,52,15,371,12847,0,58
Saturday,2018,March,2018-03-10,1140,0,16,0,10812,0,59
Sunday,2018,March,2018-03-11,675,0,11,426,8042,0,61
Monday,2018,March,2018-03-12,757,7,1,404,7375,13,60
Tuesday,2018,March,2018-03-13,718,0,14,412,6297,12,60
Wednesday,2018,March,2018-03-14,271,32,10,419,11981,13,60
Thursday,2018,March,2018-03-15,732,12,12,381,9180,0,59
Friday,2018,March,2018-03-16,821,0,9,388,3958,0,58
Saturday,2018,March,2018-03-17,601,54,16,399,10211,0,59
Sunday,2018,March,2018-03-18,1114,0,12,0,7289,0,60
Monday,2018,March,2018-03-19,701,53,15,351,14837,0,62
Tuesday,2018,March,2018-03-20,814,0,6,359,6161,4,62
Wednesday,2018,March,2018-03-21,751,52,8,389,13456,7,62
Thursday,2018,March,2018-03-22,819,6,13,329,7041,0,62
Friday,2018,March,2018-03-23,789,59,20,345,9928,0,62
Saturday,2018,March,2018-03-24,758,0,3,341,8146,0,61
Sunday,2018,March,2018-03-25,793,0,2,457,2464,0,59
Monday,2018,March,2018-03-26,833,30,9,327,9467,0,59
Tuesday,2018,March,2018-03-27,686,2,7,405,8742,0,59
Wednesday,2018,March,2018-03-28,516,51,20,469,16507,0,58
Thursday,2018,March,2018-03-29,704,34,27,393,14651,0,59
Friday,2018,March,2018-03-30,674,21,9,394,11017,0,59
Saturday,2018,March,2018-03-31,1381,0,2,0,8035,0,59
Sunday,2018,April,2018-04-01,650,0,4,458,8234,17,59
Monday,2018,April,2018-04-02,784,5,2,498,3503,12,59
Tuesday,2018,April,2018-04-03,643,46,1,361,10709,12,58
Wednesday,2018,April,2018-04-04,728,47,7,452,11696,12,58
